Province,Employee Count,Categories,Year
Yukon,"1,832",Construction,2022
Yukon,"1,772",Construction,2023
Yukon,"1,769",Construction,2024
Alberta,124769,Manufacturing,2019
Alberta,112651,Manufacturing,2020
Alberta,116030,Manufacturing,2021
Alberta,120768,Manufacturing,2022
Alberta,123431,Manufacturing,2023
Alberta,127133,Manufacturing,2024
British Columbia,155640,Manufacturing,2019
British Columbia,143904,Manufacturing,2020
British Columbia,152355,Manufacturing,2021
British Columbia,153645,Manufacturing,2022
British Columbia,149709,Manufacturing,2023
British Columbia,147410,Manufacturing,2024
Manitoba,"57,999",Manufacturing,2019
Manitoba,"54,258",Manufacturing,2020
Manitoba,"55,472",Manufacturing,2021
Manitoba,"57,771",Manufacturing,2022
Manitoba,"58,326",Manufacturing,2023
Manitoba,"58,697",Manufacturing,2024
New Brunswick,31449,Manufacturing,2019
New Brunswick,"29,318",Manufacturing,2020
New Brunswick,"30,608",Manufacturing,2021
New Brunswick,"30,942",Manufacturing,2022
New Brunswick,"30,996",Manufacturing,2023
New Brunswick,"32,041",Manufacturing,2024
Newfoundland and Labrador,"9,798",Manufacturing,2019
Newfoundland and Labrador,"8,768",Manufacturing,2020
Newfoundland and Labrador,"9,946",Manufacturing,2021
Newfoundland and Labrador,"10,991",Manufacturing,2022
Newfoundland and Labrador,"10,402",Manufacturing,2023
Newfoundland and Labrador,"10,382",Manufacturing,2024
Northwest Territories,x,Manufacturing,2019
Northwest Territories,x,Manufacturing,2020
Northwest Territories,x,Manufacturing,2021
Northwest Territories,x,Manufacturing,2022
Northwest Territories,x,Manufacturing,2023
Northwest Territories,x,Manufacturing,2024
Nova Scotia,"31,720",Manufacturing,2019
Nova Scotia,"29,977",Manufacturing,2020
Nova Scotia,"31,359",Manufacturing,2021
Nova Scotia,"32,095",Manufacturing,2022
Nova Scotia,"32,854",Manufacturing,2023
Nova Scotia,"33,167",Manufacturing,2024
Nunavut,x,Manufacturing,2019
Nunavut,x,Manufacturing,2020
Nunavut,x,Manufacturing,2021
Nunavut,x,Manufacturing,2022
Nunavut,x,Manufacturing,2023
Nunavut,x,Manufacturing,2024
Ontario,688195,Manufacturing,2019
Ontario,631014,Manufacturing,2020
Ontario,656688,Manufacturing,2021
Ontario,676994,Manufacturing,2022
Ontario,685050,Manufacturing,2023
Ontario,680547,Manufacturing,2024
Prince Edward Island,5373,Manufacturing,2019
Prince Edward Island,5109,Manufacturing,2020
Prince Edward Island,5605,Manufacturing,2021
Prince Edward Island,"5,912",Manufacturing,2022
Prince Edward Island,"6,360",Manufacturing,2023
Prince Edward Island,"6,679",Manufacturing,2024
Quebec,449873,Manufacturing,2019
Quebec,417388,Manufacturing,2020
Quebec,436533,Manufacturing,2021
Quebec,444886,Manufacturing,2022
Quebec,441297,Manufacturing,2023
Quebec,438994,Manufacturing,2024
Saskatchewan,"25,200",Manufacturing,2019
Saskatchewan,"23,468",Manufacturing,2020
Saskatchewan,"24,341",Manufacturing,2021
Saskatchewan,"25,348",Manufacturing,2022
Saskatchewan,"26,593",Manufacturing,2023
Saskatchewan,"27,092",Manufacturing,2024
Yukon,x,Manufacturing,2019
Yukon,x,Manufacturing,2020
Yukon,x,Manufacturing,2021
Yukon,x,Manufacturing,2022
Yukon,x,Manufacturing,2023
Yukon,x,Manufacturing,2024
Alberta,1584196,Service producing industries,2019
Alberta,1423206,Service producing industries,2020
Alberta,1487061,Service producing industries,2021
Alberta,1576716,Service producing industries,2022
Alberta,1638756,Service producing industries,2023
Alberta,1665186,Service producing industries,2024
British Columbia,1911223,Service producing industries,2019
British Columbia,1752615,Service producing industries,2020
British Columbia,1865876,Service producing industries,2021
British Columbia,2006752,Service producing industries,2022
British Columbia,2080310,Service producing industries,2023
British Columbia,2097725,Service producing industries,2024
Manitoba,"510,098",Service producing industries,2019
Manitoba,"471,297",Service producing industries,2020
Manitoba,"490,919",Service producing industries,2021
Manitoba,"509,924",Service producing industries,2022
Manitoba,"522,623",Service producing industries,2023
Manitoba,"524,431",Service producing industries,2024
New Brunswick,263138,Service producing industries,2019
New Brunswick,"252,294",Service producing industries,2020
New Brunswick,"268,890",Service producing industries,2021
New Brunswick,"278,901",Service producing industries,2022
New Brunswick,"286,823",Service producing industries,2023
New Brunswick,"288,695",Service producing industries,2024
Newfoundland and Labrador,"175,676",Service producing industries,2019
Newfoundland and Labrador,"163,097",Service producing industries,2020
Newfoundland and Labrador,"172,051",Service producing industries,2021
Newfoundland and Labrador,"177,776",Service producing industries,2022
Newfoundland and Labrador,"179,515",Service producing industries,2023
Newfoundland and Labrador,"178,212",Service producing industries,2024
Northwest Territories,"21,980",Service producing industries,2019
Northwest Territories,"20,428",Service producing industries,2020
Northwest Territories,"21,587",Service producing industries,2021
Northwest Territories,"21,909",Service producing industries,2022
Northwest Territories,"22,313",Service producing industries,2023
Northwest Territories,"22,304",Service producing industries,2024
Nova Scotia,"353,781",Service producing industries,2019
Nova Scotia,"331,732",Service producing industries,2020
Nova Scotia,"351,016",Service producing industries,2021
Nova Scotia,"366,445",Service producing industries,2022
Nova Scotia,"376,385",Service producing industries,2023
Nova Scotia,"382,785",Service producing industries,2024
Nunavut,"14,340",Service producing industries,2019
Nunavut,"14,195",Service producing industries,2020
Nunavut,"15,076",Service producing industries,2021
Nunavut,"15,300",Service producing industries,2022
Nunavut,"15,868",Service producing industries,2023
Nunavut,"16,294",Service producing industries,2024
Ontario,5364596,Service producing industries,2019
Ontario,4880623,Service producing industries,2020
Ontario,5120046,Service producing industries,2021
Ontario,5507840,Service producing industries,2022
Ontario,5676575,Service producing industries,2023
Ontario,5758633,Service producing industries,2024
Prince Edward Island,57879,Service producing industries,2019
Prince Edward Island,54075,Service producing industries,2020
Prince Edward Island,58000,Service producing industries,2021
Prince Edward Island,"62,130",Service producing industries,2022
Prince Edward Island,"63,778",Service producing industries,2023
Prince Edward Island,"64,340",Service producing industries,2024
Quebec,3046155,Service producing industries,2019
Quebec,2817442,Service producing industries,2020
Quebec,2992672,Service producing industries,2021
Quebec,3163455,Service producing industries,2022
Quebec,3236580,Service producing industries,2023
Quebec,3263363,Service producing industries,2024
Saskatchewan,"398,390",Service producing industries,2019
Saskatchewan,"371,531",Service producing industries,2020
Saskatchewan,"392,068",Service producing industries,2021
Saskatchewan,"408,385",Service producing industries,2022
Saskatchewan,"417,958",Service producing industries,2023
Saskatchewan,"424,301",Service producing industries,2024
Yukon,"19,554",Service producing industries,2019
Yukon,"18,117",Service producing industries,2020
Yukon,"19,323",Service producing industries,2021
Yukon,"19,865",Service producing industries,2022
Yukon,"20,800",Service producing industries,2023
Yukon,"21,771",Service producing industries,2024
Alberta,346250,Trade,2019
Alberta,322517,Trade,2020
Alberta,337897,Trade,2021
Alberta,347445,Trade,2022
Alberta,350498,Trade,2023
Alberta,346828,Trade,2024
British Columbia,381166,Trade,2019
British Columbia,353329,Trade,2020
British Columbia,372271,Trade,2021
British Columbia,380965,Trade,2022
British Columbia,383153,Trade,2023
British Columbia,379376,Trade,2024
Manitoba,"94,563",Trade,2019
Manitoba,"88,794",Trade,2020
Manitoba,"90,702",Trade,2021
Manitoba,"91,716",Trade,2022
Manitoba,"92,854",Trade,2023
Manitoba,"92,518",Trade,2024
New Brunswick,55508,Trade,2019
New Brunswick,"51,834",Trade,2020
New Brunswick,"54,516",Trade,2021
New Brunswick,"55,652",Trade,2022
New Brunswick,"55,991",Trade,2023
New Brunswick,"56,178",Trade,2024
Newfoundland and Labrador,"37,090",Trade,2019
Newfoundland and Labrador,"34,833",Trade,2020
Newfoundland and Labrador,"36,291",Trade,2021
Newfoundland and Labrador,"37,113",Trade,2022
Newfoundland and Labrador,"37,464",Trade,2023
Newfoundland and Labrador,"36,663",Trade,2024
Northwest Territories,"3,250",Trade,2019
Northwest Territories,"2,923",Trade,2020
Northwest Territories,"3,049",Trade,2021
Northwest Territories,"2,961",Trade,2022
Northwest Territories,"2,753",Trade,2023
Northwest Territories,"2,774",Trade,2024
Nova Scotia,"71,979",Trade,2019
Nova Scotia,"68,432",Trade,2020
Nova Scotia,"73,101",Trade,2021
Nova Scotia,"75,495",Trade,2022
Nova Scotia,"75,910",Trade,2023
Nova Scotia,"75,687",Trade,2024
Nunavut,"1,806",Trade,2019
Nunavut,"1,909",Trade,2020
Nunavut,"2,266",Trade,2021
Nunavut,"2,199",Trade,2022
Nunavut,"2,192",Trade,2023
Nunavut,"2,187",Trade,2024
Ontario,1096372,Trade,2019
Ontario,1009238,Trade,2020
Ontario,1052820,Trade,2021
Ontario,1092766,Trade,2022
Ontario,1100752,Trade,2023
Ontario,1095910,Trade,2024
Prince Edward Island,11506,Trade,2019
Prince Edward Island,10830,Trade,2020
Prince Edward Island,11655,Trade,2021
Prince Edward Island,"12,240",Trade,2022
Prince Edward Island,"12,151",Trade,2023
Prince Edward Island,"11,810",Trade,2024
Quebec,630675,Trade,2019
Quebec,576522,Trade,2020
Quebec,608735,Trade,2021
Quebec,632505,Trade,2022
Quebec,642945,Trade,2023
Quebec,635531,Trade,2024
Saskatchewan,"86,115",Trade,2019
Saskatchewan,"82,226",Trade,2020
Saskatchewan,"86,359",Trade,2021
Saskatchewan,"88,894",Trade,2022
Saskatchewan,"88,338",Trade,2023
Saskatchewan,"88,248",Trade,2024
Yukon,"3,221",Trade,2019
Yukon,"2,900",Trade,2020
Yukon,"3,055",Trade,2021
Yukon,"3,023",Trade,2022
Yukon,"3,225",Trade,2023
Yukon,"3,208",Trade,2024
Alberta,107212,Transportation and warehousing,2019
Alberta,100821,Transportation and warehousing,2020
Alberta,103229,Transportation and warehousing,2021
Alberta,110371,Transportation and warehousing,2022
Alberta,116781,Transportation and warehousing,2023
Alberta,117856,Transportation and warehousing,2024
British Columbia,116289,Transportation and warehousing,2019
British Columbia,110858,Transportation and warehousing,2020
British Columbia,114311,Transportation and warehousing,2021
British Columbia,122218,Transportation and warehousing,2022
British Columbia,126902,Transportation and warehousing,2023
British Columbia,128561,Transportation and warehousing,2024
Manitoba,"34,639",Transportation and warehousing,2019
Manitoba,"33,463",Transportation and warehousing,2020
Manitoba,"35,741",Transportation and warehousing,2021
Manitoba,"37,612",Transportation and warehousing,2022
Manitoba,"38,924",Transportation and warehousing,2023
Manitoba,"38,759",Transportation and warehousing,2024
New Brunswick,16447,Transportation and warehousing,2019
New Brunswick,"15,951",Transportation and warehousing,2020
New Brunswick,"16,129",Transportation and warehousing,2021
New Brunswick,"16,631",Transportation and warehousing,2022
New Brunswick,"17,136",Transportation and warehousing,2023
New Brunswick,"17,365",Transportation and warehousing,2024
Newfoundland and Labrador,"9,924",Transportation and warehousing,2019
Newfoundland and Labrador,"9,134",Transportation and warehousing,2020
Newfoundland and Labrador,"9,249",Transportation and warehousing,2021
Newfoundland and Labrador,"9,604",Transportation and warehousing,2022
Newfoundland and Labrador,"9,973",Transportation and warehousing,2023
Newfoundland and Labrador,"10,038",Transportation and warehousing,2024
Northwest Territories,"1,497",Transportation and warehousing,2019
Northwest Territories,"1,255",Transportation and warehousing,2020
Northwest Territories,"1,259",Transportation and warehousing,2021
Northwest Territories,"1,434",Transportation and warehousing,2022
Northwest Territories,"1,571",Transportation and warehousing,2023
Northwest Territories,"1,624",Transportation and warehousing,2024
Nova Scotia,"17,633",Transportation and warehousing,2019
Nova Scotia,"16,862",Transportation and warehousing,2020
Nova Scotia,"17,179",Transportation and warehousing,2021
Nova Scotia,"17,779",Transportation and warehousing,2022
Nova Scotia,"18,519",Transportation and warehousing,2023
Nova Scotia,"18,232",Transportation and warehousing,2024
Nunavut,847,Transportation and warehousing,2019
Nunavut,833,Transportation and warehousing,2020
Nunavut,743,Transportation and warehousing,2021
Nunavut,867,Transportation and warehousing,2022
Nunavut,945,Transportation and warehousing,2023
Nunavut,"1,039",Transportation and warehousing,2024
Ontario,287414,Transportation and warehousing,2019
Ontario,275794,Transportation and warehousing,2020
Ontario,285858,Transportation and warehousing,2021
Ontario,296700,Transportation and warehousing,2022
Ontario,309509,Transportation and warehousing,2023
Ontario,311918,Transportation and warehousing,2024
Prince Edward Island,2902,Transportation and warehousing,2019
Prince Edward Island,2865,Transportation and warehousing,2020
Prince Edward Island,2934,Transportation and warehousing,2021
Prince Edward Island,"3,005",Transportation and warehousing,2022
Prince Edward Island,"3,162",Transportation and warehousing,2023
Prince Edward Island,"3,070",Transportation and warehousing,2024
Quebec,167519,Transportation and warehousing,2019
Quebec,157208,Transportation and warehousing,2020
Quebec,161674,Transportation and warehousing,2021
Quebec,170703,Transportation and warehousing,2022
Quebec,175315,Transportation and warehousing,2023
Quebec,175482,Transportation and warehousing,2024
Saskatchewan,"18,728",Transportation and warehousing,2019
Saskatchewan,"17,551",Transportation and warehousing,2020
Saskatchewan,"18,176",Transportation and warehousing,2021
Saskatchewan,"18,640",Transportation and warehousing,2022
Saskatchewan,"19,598",Transportation and warehousing,2023
Saskatchewan,"19,198",Transportation and warehousing,2024
Yukon,"1,416",Transportation and warehousing,2019
Yukon,"1,196",Transportation and warehousing,2020
Yukon,"1,173",Transportation and warehousing,2021
Yukon,"1,243",Transportation and warehousing,2022
Yukon,"1,285",Transportation and warehousing,2023
Yukon,"1,260",Transportation and warehousing,2024
Alberta,27663,Information and cultural industries,2019
Alberta,24495,Information and cultural industries,2020
Alberta,24609,Information and cultural industries,2021
Alberta,26141,Information and cultural industries,2022
Alberta,26298,Information and cultural industries,2023
Alberta,26762,Information and cultural industries,2024
British Columbia,57828,Information and cultural industries,2019
British Columbia,54391,Information and cultural industries,2020
British Columbia,58134,Information and cultural industries,2021
British Columbia,63773,Information and cultural industries,2022
British Columbia,62753,Information and cultural industries,2023
British Columbia,62828,Information and cultural industries,2024
Manitoba,"11,945",Information and cultural industries,2019
Manitoba,"14,561",Information and cultural industries,2020
Manitoba,"16,961",Information and cultural industries,2021
Manitoba,"18,201",Information and cultural industries,2022
Manitoba,"18,019",Information and cultural industries,2023
Manitoba,"18,546",Information and cultural industries,2024
New Brunswick,6035,Information and cultural industries,2019
New Brunswick,"5,244",Information and cultural industries,2020
New Brunswick,"5,950",Information and cultural industries,2021
New Brunswick,"5,927",Information and cultural industries,2022
New Brunswick,"5,710",Information and cultural industries,2023
New Brunswick,"4,705",Information and cultural industries,2024
Newfoundland and Labrador,"5,002",Information and cultural industries,2019
Newfoundland and Labrador,"4,524",Information and cultural industries,2020
Newfoundland and Labrador,"4,790",Information and cultural industries,2021
Newfoundland and Labrador,"4,803",Information and cultural industries,2022
Newfoundland and Labrador,"4,746",Information and cultural industries,2023
Newfoundland and Labrador,"4,564",Information and cultural industries,2024
Northwest Territories,329,Information and cultural industries,2019
Northwest Territories,360,Information and cultural industries,2020
Northwest Territories,373,Information and cultural industries,2021
Northwest Territories,x,Information and cultural industries,2022
Northwest Territories,301,Information and cultural industries,2023
Northwest Territories,295,Information and cultural industries,2024
Nova Scotia,"7,193",Information and cultural industries,2019
Nova Scotia,"6,622",Information and cultural industries,2020
Nova Scotia,"6,832",Information and cultural industries,2021
Nova Scotia,"7,274",Information and cultural industries,2022
Nova Scotia,"7,415",Information and cultural industries,2023
Nova Scotia,"7,479",Information and cultural industries,2024
Nunavut,97,Information and cultural industries,2019
Nunavut,85,Information and cultural industries,2020
Nunavut,92,Information and cultural industries,2021
Nunavut,104,Information and cultural industries,2022
Nunavut,103,Information and cultural industries,2023
Nunavut,102,Information and cultural industries,2024
Ontario,152237,Information and cultural industries,2019
Ontario,142315,Information and cultural industries,2020
Ontario,150276,Information and cultural industries,2021
Ontario,160486,Information and cultural industries,2022
Ontario,152029,Information and cultural industries,2023
Ontario,149284,Information and cultural industries,2024
Prince Edward Island,856,Information and cultural industries,2019
Prince Edward Island,748,Information and cultural industries,2020
Prince Edward Island,748,Information and cultural industries,2021
Prince Edward Island,x,Information and cultural industries,2022
Prince Edward Island,737,Information and cultural industries,2023
Prince Edward Island,700,Information and cultural industries,2024
Quebec,74136,Information and cultural industries,2019
Quebec,69425,Information and cultural industries,2020
Quebec,72771,Information and cultural industries,2021
Quebec,78362,Information and cultural industries,2022
Quebec,77248,Information and cultural industries,2023
Quebec,74288,Information and cultural industries,2024
Saskatchewan,"9,501",Information and cultural industries,2019
Saskatchewan,"8,734",Information and cultural industries,2020
Saskatchewan,"8,962",Information and cultural industries,2021
Saskatchewan,"9,398",Information and cultural industries,2022
Alberta,166126,Accommodation and food services,2019
Alberta,96440,"Administrative and support, waste management and remediation services",2019
Alberta,39733,"Arts, entertainment and recreation",2019
Alberta,152687,"Educational services",2019
Alberta,63051,Finance and insurance,2019
Alberta,217919,Health care and social assistance,2019
Alberta,19761,"Management of companies and enterprises",2019
Alberta,76186,Other services (except public administration),2019
Alberta,118855,"Professional, scientific and technical services",2019
Alberta,109302,Public administration,2019
Alberta,43012,Real estate and rental and leasing,2019
Alberta,30801,Unclassified businesses,2019
British Columbia,237424,Accommodation and food services,2019
British Columbia,108588,"Administrative and support, waste management and remediation services",2019
British Columbia,50505,"Arts, entertainment and recreation",2019
British Columbia,174067,"Educational services",2019
British Columbia,90637,Finance and insurance,2019
British Columbia,283317,Health care and social assistance,2019
British Columbia,16544,"Management of companies and enterprises",2019
British Columbia,79769,Other services (except public administration),2019
British Columbia,137026,"Professional, scientific and technical services",2019
British Columbia,132536,Public administration,2019
British Columbia,45526,Real estate and rental and leasing,2019
British Columbia,55989,Unclassified businesses,2019
Manitoba,"44,307",Accommodation and food services,2019
Manitoba,"22,357","Administrative and support, waste management and remediation services",2019
Manitoba,"11,270","Arts, entertainment and recreation",2019
Manitoba,"51,257","Educational services",2019
Manitoba,"34,738",Finance and insurance,2019
Manitoba,"99,970",Health care and social assistance,2019
Manitoba,"5,353","Management of companies and enterprises",2019
Manitoba,"20,968",Other services (except public administration),2019
Manitoba,"18,286","Professional, scientific and technical services",2019
Manitoba,"49,291",Public administration,2019
Manitoba,"11,156",Real estate and rental and leasing,2019
Manitoba,"9,785",Unclassified businesses,2019
New Brunswick,24104,Accommodation and food services,2019
New Brunswick,15906,"Administrative and support, waste management and remediation services",2019
New Brunswick,4358,"Arts, entertainment and recreation",2019
New Brunswick,20753,"Educational services",2019
New Brunswick,14992,Finance and insurance,2019
New Brunswick,49323,Health care and social assistance,2019
New Brunswick,860,"Management of companies and enterprises",2019
New Brunswick,9199,Other services (except public administration),2019
New Brunswick,12086,"Professional, scientific and technical services",2019
New Brunswick,28857,Public administration,2019
New Brunswick,4710,Real estate and rental and leasing,2019
New Brunswick,4670,Unclassified businesses,2019
Newfoundland and Labrador,"16,298",Accommodation and food services,2019
Newfoundland and Labrador,"6,124","Administrative and support, waste management and remediation services",2019
Newfoundland and Labrador,"2,473","Arts, entertainment and recreation",2019
Newfoundland and Labrador,"21,041","Educational services",2019
Newfoundland and Labrador,"6,904",Finance and insurance,2019
Newfoundland and Labrador,"33,782",Health care and social assistance,2019
Newfoundland and Labrador,741,"Management of companies and enterprises",2019
Newfoundland and Labrador,"6,609",Other services (except public administration),2019
Newfoundland and Labrador,"7,471","Professional, scientific and technical services",2019
Newfoundland and Labrador,"19,802",Public administration,2019
Newfoundland and Labrador,"2,414",Real estate and rental and leasing,2019
Newfoundland and Labrador,"5,433",Unclassified businesses,2019
Northwest Territories,"1,903",Accommodation and food services,2019
Northwest Territories,667,"Administrative and support, waste management and remediation services",2019
Northwest Territories,282,"Arts, entertainment and recreation",2019
Northwest Territories,"2,169","Educational services",2019
Northwest Territories,455,Finance and insurance,2019
Northwest Territories,"1,879",Health care and social assistance,2019
Northwest Territories,60,"Management of companies and enterprises",2019
Northwest Territories,903,Other services (except public administration),2019
Northwest Territories,984,"Professional, scientific and technical services",2019
Northwest Territories,"7,098",Public administration,2019
Northwest Territories,507,Real estate and rental and leasing,2019
Northwest Territories,167,Unclassified businesses,2019
Nova Scotia,"32,837",Accommodation and food services,2019
Nova Scotia,"19,050","Administrative and support, waste management and remediation services",2019
Nova Scotia,"5,310","Arts, entertainment and recreation",2019
Nova Scotia,"41,515","Educational services",2019
Nova Scotia,"16,806",Finance and insurance,2019
Nova Scotia,"68,930",Health care and social assistance,2019
Nova Scotia,"1,820","Management of companies and enterprises",2019
Nova Scotia,"12,424",Other services (except public administration),2019
Nova Scotia,"16,646","Professional, scientific and technical services",2019
Nova Scotia,"35,816",Public administration,2019
Nova Scotia,"5,822",Real estate and rental and leasing,2019
Nova Scotia,"7,393",Unclassified businesses,2019
Nunavut,788,Accommodation and food services,2019
Nunavut,677,"Administrative and support, waste management and remediation services",2019
Nunavut,102,"Arts, entertainment and recreation",2019
Nunavut,626,"Educational services",2019
Nunavut,205,Finance and insurance,2019
Nunavut,"1,128",Health care and social assistance,2019
Nunavut,109,"Management of companies and enterprises",2019
Nunavut,253,Other services (except public administration),2019
Nunavut,192,"Professional, scientific and technical services",2019
Nunavut,"6,762",Public administration,2019
Nunavut,749,Real estate and rental and leasing,2019
Nunavut,158,Unclassified businesses,2019
Ontario,499480,Accommodation and food services,2019
Ontario,384120,"Administrative and support, waste management and remediation services",2019
Ontario,119120,"Arts, entertainment and recreation",2019
Ontario,512613,"Educational services",2019
Ontario,349531,Finance and insurance,2019
Ontario,741437,Health care and social assistance,2019
Ontario,38351,"Management of companies and enterprises",2019
Ontario,202252,Other services (except public administration),2019
Ontario,430070,"Professional, scientific and technical services",2019
Ontario,434002,Public administration,2019
Ontario,117598,Real estate and rental and leasing,2019
Ontario,114627,Unclassified businesses,2019
Prince Edward Island,6111,Accommodation and food services,2019
Prince Edward Island,4214,"Administrative and support, waste management and remediation services",2019
Prince Edward Island,1136,"Arts, entertainment and recreation",2019
Prince Edward Island,5466,"Educational services",2019
Prince Edward Island,1793,Finance and insurance,2019
Prince Edward Island,10278,Health care and social assistance,2019
Prince Edward Island,122,"Management of companies and enterprises",2019
Prince Edward Island,2104,Other services (except public administration),2019
Prince Edward Island,2270,"Professional, scientific and technical services",2019
Prince Edward Island,8332,Public administration,2019
Prince Edward Island,789,Real estate and rental and leasing,2019
Prince Edward Island,1354,Unclassified businesses,2019
Quebec,273190,Accommodation and food services,2019
Quebec,172970,"Administrative and support, waste management and remediation services",2019
Quebec,65068,"Arts, entertainment and recreation",2019
Quebec,327543,"Educational services",2019
Quebec,149891,Finance and insurance,2019
Quebec,499075,Health care and social assistance,2019
Quebec,23021,"Management of companies and enterprises",2019
Quebec,128399,Other services (except public administration),2019
Quebec,217523,"Professional, scientific and technical services",2019
Quebec,258293,Public administration,2019
Quebec,58853,Real estate and rental and leasing,2019
Quebec,57296,Unclassified businesses,2019
Saskatchewan,"37,571",Accommodation and food services,2019
Saskatchewan,"13,229","Administrative and support, waste management and remediation services",2019
Saskatchewan,"8,966","Arts, entertainment and recreation",2019
Saskatchewan,"45,035","Educational services",2019
Saskatchewan,"20,670",Finance and insurance,2019
Saskatchewan,"69,506",Health care and social assistance,2019
Saskatchewan,"2,051","Management of companies and enterprises",2019
Saskatchewan,"16,962",Other services (except public administration),2019
Saskatchewan,"14,709","Professional, scientific and technical services",2019
Saskatchewan,"49,453",Public administration,2019
Saskatchewan,"5,894",Real estate and rental and leasing,2019
Saskatchewan,"6,277",Unclassified businesses,2019
Yukon,"1,912",Accommodation and food services,2019
Yukon,504,"Administrative and support, waste management and remediation services",2019
Yukon,383,"Arts, entertainment and recreation",2019
Yukon,"1,480","Educational services",2019
Yukon,332,Finance and insurance,2019
Yukon,"1,368",Health care and social assistance,2019
Yukon,493,Information and cultural industries,2019
Yukon,36,"Management of companies and enterprises",2019
Yukon,574,Other services (except public administration),2019
Yukon,717,"Professional, scientific and technical services",2019
Yukon,"6,809",Public administration,2019
Yukon,308,Real estate and rental and leasing,2019
Yukon,389,Unclassified businesses,2019
Alberta,124029,Accommodation and food services,2020
Alberta,84333,"Administrative and support, waste management and remediation services",2020
Alberta,26238,"Arts, entertainment and recreation",2020
Alberta,136165,"Educational services",2020
Alberta,62895,Finance and insurance,2020
Alberta,208353,Health care and social assistance,2020
Alberta,18209,"Management of companies and enterprises",2020
Alberta,63671,Other services (except public administration),2020
Alberta,111752,"Professional, scientific and technical services",2020
Alberta,103007,Public administration,2020
Alberta,36721,Real estate and rental and leasing,2020
Alberta,28199,Unclassified businesses,2020
British Columbia,170515,Accommodation and food services,2020
British Columbia,96870,"Administrative and support, waste management and remediation services",2020
British Columbia,33962,"Arts, entertainment and recreation",2020
British Columbia,170833,"Educational services",2020
British Columbia,87490,Finance and insurance,2020
British Columbia,281460,Health care and social assistance,2020
British Columbia,18136,"Management of companies and enterprises",2020
British Columbia,68331,Other services (except public administration),2020
British Columbia,135360,"Professional, scientific and technical services",2020
British Columbia,130957,Public administration,2020
British Columbia,40123,Real estate and rental and leasing,2020
British Columbia,51213,Unclassified businesses,2020
Manitoba,"34,238",Accommodation and food services,2020
Manitoba,"21,197","Administrative and support, waste management and remediation services",2020
Manitoba,"8,528","Arts, entertainment and recreation",2020
Manitoba,"47,052","Educational services",2020
Manitoba,"31,223",Finance and insurance,2020
Manitoba,"96,640",Health care and social assistance,2020
Manitoba,"4,526","Management of companies and enterprises",2020
Manitoba,"18,065",Other services (except public administration),2020
Manitoba,"17,697","Professional, scientific and technical services",2020
Manitoba,"46,785",Public administration,2020
Manitoba,"8,529",Real estate and rental and leasing,2020
Manitoba,"9,667",Unclassified businesses,2020
New Brunswick,"19,272",Accommodation and food services,2020
New Brunswick,"14,701","Administrative and support, waste management and remediation services",2020
New Brunswick,"3,433","Arts, entertainment and recreation",2020
New Brunswick,"20,663","Educational services",2020
New Brunswick,"15,286",Finance and insurance,2020
New Brunswick,"51,396",Health care and social assistance,2020
New Brunswick,833,"Management of companies and enterprises",2020
New Brunswick,"7,946",Other services (except public administration),2020
New Brunswick,"12,006","Professional, scientific and technical services",2020
New Brunswick,"29,554",Public administration,2020
New Brunswick,"4,176",Real estate and rental and leasing,2020
New Brunswick,"4,634",Unclassified businesses,2020
Newfoundland and Labrador,"12,717",Accommodation and food services,2020
Newfoundland and Labrador,"5,560","Administrative and support, waste management and remediation services",2020
Newfoundland and Labrador,"1,726","Arts, entertainment and recreation",2020
Newfoundland and Labrador,"18,795","Educational services",2020
Newfoundland and Labrador,"6,905",Finance and insurance,2020
Newfoundland and Labrador,"33,654",Health care and social assistance,2020
Newfoundland and Labrador,739,"Management of companies and enterprises",2020
Newfoundland and Labrador,"5,664",Other services (except public administration),2020
Newfoundland and Labrador,"7,194","Professional, scientific and technical services",2020
Newfoundland and Labrador,"19,579",Public administration,2020
Newfoundland and Labrador,"2,076",Real estate and rental and leasing,2020
Newfoundland and Labrador,"4,984",Unclassified businesses,2020
Northwest Territories,"1,346",Accommodation and food services,2020
Northwest Territories,634,"Administrative and support, waste management and remediation services",2020
Northwest Territories,242,"Arts, entertainment and recreation",2020
Northwest Territories,"1,921","Educational services",2020
Northwest Territories,430,Finance and insurance,2020
Northwest Territories,"1,841",Health care and social assistance,2020
Northwest Territories,31,"Management of companies and enterprises",2020
Northwest Territories,834,Other services (except public administration),2020
Northwest Territories,935,"Professional, scientific and technical services",2020
Northwest Territories,"7,221",Public administration,2020
Northwest Territories,455,Real estate and rental and leasing,2020
Northwest Territories,206,Unclassified businesses,2020
Nova Scotia,"24,786",Accommodation and food services,2020
Nova Scotia,"17,348","Administrative and support, waste management and remediation services",2020
Nova Scotia,"3,967","Arts, entertainment and recreation",2020
Nova Scotia,"40,331","Educational services",2020
Nova Scotia,"16,982",Finance and insurance,2020
Nova Scotia,"66,569",Health care and social assistance,2020
Nova Scotia,"1,951","Management of companies and enterprises",2020
Nova Scotia,"11,062",Other services (except public administration),2020
Nova Scotia,"16,382","Professional, scientific and technical services",2020
Nova Scotia,"34,952",Public administration,2020
Nova Scotia,"5,486",Real estate and rental and leasing,2020
Nova Scotia,"6,207",Unclassified businesses,2020
